id,title,text,weight,excerpt
115,"I never lost as much but twice,","I never lost as much but twice,
And that was in the sod;
Twice have I stood a beggar
Before the door of God!

Angels, twice descending,
Reimbursed my store.
Burglar, banker, father,
I am poor once more!

POEMS
by EMILY DICKINSON
Second Series

Edited by two of her friends

MABEL LOOMIS TODD and T.W. HIGGINSON

PREFACE

The eagerness with which the first volume of Emily Dickinson's poems has been read shows very clearly that all our alleged modern artificiality does not prevent a prompt appreciation of the qualities of directness and simplicity in approaching the greatest themes,âlife and love and death. That ""irresistible needle-touch,"" as one of her best critics has called it, piercing at once the very core of a thought, has found a response as wide and sympathetic as it has been unexpected even to those who knew best her compelling power. This second volume, while open to the same criticism as to form with its predecessor, shows also the same shining beauties.

Although Emily Dickinson had been in the habit of sending occasional poems to friends and correspondents, the full extent of her writing was by no means imagined by them. Her friend ""H.H."" must at least have suspected it, for in a letter dated 5th September, 1884, she wrote:â

MY DEAR FRIEND,â What portfolios full of verses you must have! It is a cruel wrong to your ""day and generation"" that you will not give them light.

If such a thing should happen as that I should outlive you, I wish you would make me your literary legatee and executor. Surely after you are what is called ""dead"" you will be willing that the poor ghosts you have left behind should be cheered and pleased by your verses, will you not? You ought to be. I do not think we have a right to withhold from the world a word or a thought any more than a deed which might help a single soul. . . .

    Truly yours,

        HELEN JACKSON.

The ""portfolios"" were found, shortly after Emily Dickinson's death, by her sister and only surviving housemate. Most of the poems had been carefully copied on sheets of note-paper, and tied in little fascicules, each of six or eight sheets. While many of them bear evidence of having been thrown off at white heat, still more had received thoughtful revision. There is the frequent addition of rather perplexing foot-notes, affording large choice of words and phrases. And in the copies which she sent to friends, sometimes one form, sometimes another, is found to have been used. Without important exception, her friends have generously placed at the disposal of the Editors any poems they had received from her; and these have given the obvious advantage of comparison among several renderings of the same verse.

To what further rigorous pruning her verses would have been subjected had she published them herself, we cannot know. They should be regarded in many cases as merely the first strong and suggestive sketches of an artist, intended to be embodied at some time in the finished picture.

Emily Dickinson appears to have written her first poems in the winter of 1862. In a letter to one of the present Editors the April following, she says, ""I made no verse, but one or two, until this winter.""

The handwriting was at first somewhat like the delicate, running Italian hand of our elder gentlewomen; but as she advanced in breadth of thought, it grew bolder and more abrupt, until in her latest years each letter stood distinct and separate from its fellows. In most of her poems, particularly the later ones, everything by way of punctuation was discarded, except numerous dashes; and all important words began with capitals. The effect of a page of her more recent manuscript is exceedingly quaint and strong. The fac-simile given in the present volume is from one of the earlier transition periods. Although there is nowhere a date, the handwriting makes it possible to arrange the poems with general chronologic accuracy.

As a rule, the verses were without titles; but ""A Country Burial,"" ""A Thunder-Storm,"" ""The Humming-Bird,"" and a few others were named by their author, frequently at the end,âsometimes only in the accompanying note, if sent to a friend.

The variation of readings, with the fact that she often wrote in pencil and not always clearly, have at times thrown a good deal of responsibility upon her Editors. But all interference not absolutely inevitable has been avoided. The very roughness of her rendering is part of herself, and not lightly to be touched; for it seems in many cases that she intentionally avoided the smoother and more usual rhymes.

Like impressionist pictures, or Wagner's rugged music, the very absence of conventional form challenges attention. In Emily Dickinson's exacting hands, the especial, intrinsic fitness of a particular order of words might not be sacrificed to anything virtually extrinsic; and her verses all show a strange cadence of inner rhythmical music. Lines are always daringly constructed, and the ""thought-rhyme"" appears frequently,âappealing, indeed, to an unrecognized sense more elusive than hearing.

Emily Dickinson scrutinized everything with clear-eyed frankness. Every subject was proper ground for legitimate study, even the sombre facts of death and burial, and the unknown life beyond. She touches these themes sometimes lightly, sometimes almost humorously, more often with weird and peculiar power; but she is never by any chance frivolous or trivial. And while, as one critic has said, she may exhibit toward God ""an Emersonian self-possession,"" it was because she looked upon all life with a candor as unprejudiced as it is rare.

She had tried society and the world, and found them lacking. She was not an invalid, and she lived in seclusion from no love-disappointment. Her life was the normal blossoming of a nature introspective to a high degree, whose best thought could not exist in pretence.

Storm, wind, the wild March sky, sunsets and dawns; the birds and bees, butterflies and flowers of her garden, with a few trusted human friends, were sufficient companionship. The coming of the first robin was a jubilee beyond crowning of monarch or birthday of pope; the first red leaf hurrying through ""the altered air,"" an epoch. Immortality was close about her; and while never morbid or melancholy, she lived in its presence.

    MABEL LOOMIS TODD.

    AMHERST, MASSACHUSETTS,

    August, 1891.

My nosegays are for captives;
    Dim, long-expectant eyes,
Fingers denied the plucking,
    Patient till paradise,

To such, if they should whisper
    Of morning and the moor,
They bear no other errand,
    And I, no other prayer.

I. LIFE.",0.9977532241186008,"I never lost as much but twice, / And that was in the sod;"
198,THE SLEEPING FLOWERS.,"
""Whose are the little beds,"" I asked,
""Which in the valleys lie?""
Some shook their heads, and others smiled,
And no one made reply.

""Perhaps they did not hear,"" I said;
""I will inquire again.
Whose are the beds, the tiny beds
So thick upon the plain?""

""'T is daisy in the shortest;
A little farther on,
Nearest the door to wake the first,
Little leontodon.

""'T is iris, sir, and aster,
Anemone and bell,
Batschia in the blanket red,
And chubby daffodil.""

Meanwhile at many cradles
Her busy foot she plied,
Humming the quaintest lullaby
That ever rocked a child.

""Hush! Epigea wakens! â
The crocus stirs her lids,
Rhodora's cheek is crimson, â
She's dreaming of the woods.""

Then, turning from them, reverent,
""Their bed-time 't is,"" she said;
""The bumble-bees will wake them
When April woods are red.""",0.9883964555408937,"""Whose are the little beds,"" I asked, / ""Which in the valleys lie?"""
39,RENUNCIATION.,"
First page of Renunciation Second page of Renunciation Third page of Renunciation Fourth page of Renunciation

There came a day at summer's full
Entirely for me;
I thought that such were for the saints,
Where revelations be.

The sun, as common, went abroad,
The flowers, accustomed, blew,
As if no soul the solstice passed
That maketh all things new.

The time was scarce profaned by speech;
The symbol of a word
Was needless, as at sacrament
The wardrobe of our Lord.

Each was to each the sealed church,
Permitted to commune this time,
Lest we too awkward show
At supper of the Lamb.

The hours slid fast, as hours will,
Clutched tight by greedy hands;
So faces on two decks look back,
Bound to opposing lands.

And so, when all the time had failed,
Without external sound,
Each bound the other's crucifix,
We gave no other bond.

Sufficient troth that we shall rise â
Deposed, at length, the grave â
To that new marriage, justified
Through Calvaries of Love!",0.9879382923546213,First page of Renunciation Second page of Renunciation Third page of Renunciation Fourth page of Renunciation / There came a day at summer's full
177,THE LETTER.,"
""Going to him! Happy letter! Tell him â
Tell him the page I didn't write;
Tell him I only said the syntax,
And left the verb and the pronoun out.
Tell him just how the fingers hurried,
Then how they waded, slow, slow, slow;
And then you wished you had eyes in your pages,
So you could see what moved them so.

""Tell him it wasn't a practised writer,
You guessed, from the way the sentence toiled;
You could hear the bodice tug, behind you,
As if it held but the might of a child;
You almost pitied it, you, it worked so.
Tell him â No, you may quibble there,
For it would split his heart to know it,
And then you and I were silenter.

""Tell him night finished before we finished,
And the old clock kept neighing 'day!'
And you got sleepy and begged to be ended â
What could it hinder so, to say?
Tell him just how she sealed you, cautious,
But if he ask where you are hid
Until to-morrow, â happy letter!
Gesture, coquette, and shake your head!""",0.9872681850738134,"""Going to him! Happy letter! Tell him â / Tell him the page I didn't write;"
197,APRIL.,"
An altered look about the hills;
A Tyrian light the village fills;
A wider sunrise in the dawn;
A deeper twilight on the lawn;
A print of a vermilion foot;
A purple finger on the slope;
A flippant fly upon the pane;
A spider at his trade again;
An added strut in chanticleer;
A flower expected everywhere;
An axe shrill singing in the woods;
Fern-odors on untravelled roads, â
All this, and more I cannot tell,
A furtive look you know as well,
And Nicodemus' mystery
Receives its annual reply.",0.9796292634677864,An altered look about the hills; / A Tyrian light the village fills;
109,"The daisy follows soft the sun,","The daisy follows soft the sun,
And when his golden walk is done,
    Sits shyly at his feet.
He, waking, finds the flower near.
""Wherefore, marauder, art thou here?""
    ""Because, sir, love is sweet!""

We are the flower, Thou the sun!
Forgive us, if as days decline,
    We nearer steal to Thee, â
Enamoured of the parting west,
The peace, the flight, the amethyst,
    Night's possibility!",0.9781739484605744,"The daisy follows soft the sun, / And when his golden walk is done,"
137,THE RETURN.,"
Though I get home how late, how late!
So I get home, 't will compensate.
Better will be the ecstasy
That they have done expecting me,
When, night descending, dumb and dark,
They hear my unexpected knock.
Transporting must the moment be,
Brewed from decades of agony!

To think just how the fire will burn,
Just how long-cheated eyes will turn
To wonder what myself will say,
And what itself will say to me,
Beguiles the centuries of way!",0.9758767112436391,"Though I get home how late, how late! / So I get home, 't will compensate."
41,RESURRECTION.,"
'T was a long parting, but the time
For interview had come;
Before the judgment-seat of God,
The last and second time

These fleshless lovers met,
A heaven in a gaze,
A heaven of heavens, the privilege
Of one another's eyes.

No lifetime set on them,
Apparelled as the new
Unborn, except they had beheld,
Born everlasting now.

Was bridal e'er like this?
A paradise, the host,
And cherubim and seraphim
The most familiar guest.",0.974536122554566,"'T was a long parting, but the time / For interview had come;"
76,"One dignity delays for all,","One dignity delays for all,
One mitred afternoon.
None can avoid this purple,
None evade this crown.

Coach it insures, and footmen,
Chamber and state and throng;
Bells, also, in the village,
As we ride grand along.

What dignified attendants,
What service when we pause!
How loyally at parting
Their hundred hats they raise!

How pomp surpassing ermine,
When simple you and I
Present our meek escutcheon,
And claim the rank to die!",0.9738090144790895,"One dignity delays for all, / One mitred afternoon."
337,THANKSGIVING DAY.,"
One day is there of the series
   Termed Thanksgiving day,
Celebrated part at table,
   Part in memory.

Neither patriarch nor pussy,
   I dissect the play;
Seems it, to my hooded thinking,
   Reflex holiday.

Had there been no sharp subtraction
   From the early sum,
Not an acre or a caption
   Where was once a room,

Not a mention, whose small pebble
   Wrinkled any bay, â
Unto such, were such assembly,
   'T were Thanksgiving day.",0.9722215677259379,"One day is there of the series /    Termed Thanksgiving day,"
85,"I died for beauty, but was scarce","I died for beauty, but was scarce
Adjusted in the tomb,
When one who died for truth was lain
In an adjoining room.

He questioned softly why I failed?
""For beauty,"" I replied.
""And I for truth, â the two are one;
We brethren are,"" he said.

And so, as kinsmen met a night,
We talked between the rooms,
Until the moss had reached our lips,
And covered up our names.",0.9713537385805077,"I died for beauty, but was scarce / Adjusted in the tomb,"
16,"To fight aloud is very brave,","To fight aloud is very brave,
But gallanter, I know,
Who charge within the bosom,
The cavalry of woe.

Who win, and nations do not see,
Who fall, and none observe,
Whose dying eyes no country
Regards with patriot love.

We trust, in plumed procession,
For such the angels go,
Rank after rank, with even feet
And uniforms of snow.",0.9683900141019859,"To fight aloud is very brave, / But gallanter, I know,"
27,MINE.,"
Mine by the right of the white election!
Mine by the royal seal!
Mine by the sign in the scarlet prison
Bars cannot conceal!

Mine, here in vision and in veto!
Mine, by the grave's repeal
Titled, confirmed, â delirious charter!
Mine, while the ages steal!",0.9660489477174246,Mine by the right of the white election! / Mine by the royal seal!
343,WITH A FLOWER.,"
When roses cease to bloom, dear,
   And violets are done,
When bumble-bees in solemn flight
   Have passed beyond the sun,

The hand that paused to gather
   Upon this summer's day
Will idle lie, in Auburn, â
   Then take my flower, pray!",0.9660485064788707,"When roses cease to bloom, dear, /    And violets are done,"
93,PLAYMATES.,"
God permits industrious angels
Afternoons to play.
I met one, â forgot my school-mates,
All, for him, straightway.

God calls home the angels promptly
At the setting sun;
I missed mine. How dreary marbles,
After playing Crown!",0.9647431218926081,God permits industrious angels / Afternoons to play.
427,DEAD.,"
There's something quieter than sleep
   Within this inner room!
It wears a sprig upon its breast,
   And will not tell its name.

Some touch it and some kiss it,
   Some chafe its idle hand;
It has a simple gravity
   I do not understand!

While simple-hearted neighbors
   Chat of the 'early dead,'
We, prone to periphrasis,
   Remark that birds have fled!",0.9647426824601728,There's something quieter than sleep /    Within this inner room!
114,"I shall know why, when time is over,","I shall know why, when time is over,
And I have ceased to wonder why;
Christ will explain each separate anguish
In the fair schoolroom of the sky.

He will tell me what Peter promised,
And I, for wonder at his woe,
I shall forget the drop of anguish
That scalds me now, that scalds me now.",0.9583323103445214,"I shall know why, when time is over, / And I have ceased to wonder why;"
328,THE PAST.,"
The past is such a curious creature,
   To look her in the face
A transport may reward us,
   Or a disgrace.

Unarmed if any meet her,
   I charge him, fly!
Her rusty ammunition
   Might yet reply!",0.9517517737049414,"The past is such a curious creature, /    To look her in the face"
12,"I asked no other thing,","I asked no other thing,
No other was denied.
I offered Being for it;
The mighty merchant smiled.

Brazil? He twirled a button,
Without a glance my way:
""But, madam, is there nothing else
That we can show to-day?""",0.9490733365346621,"I asked no other thing, / No other was denied."
410,Immortal is an ample word,"Immortal is an ample word
   When what we need is by,
But when it leaves us for a time,
   'T is a necessity.

Of heaven above the firmest proof
   We fundamental know,
Except for its marauding hand,
   It had been heaven below.",0.9490729672336213,"Immortal is an ample word /    When what we need is by,"
438,"We never know we go, â when we are going","We never know we go, â when we are going
   We jest and shut the door;
Fate following behind us bolts it,
   And we accost no more.",0.9490729617939752,"We never know we go, â when we are going /    We jest and shut the door;"
288,Heaven is what I cannot reach!,"Heaven is what I cannot reach!
   The apple on the tree,
Provided it do hopeless hang,
   That 'heaven' is, to me.

The color on the cruising cloud,
   The interdicted ground
Behind the hill, the house behind, â
   There Paradise is found!",0.9490727788037046,"Heaven is what I cannot reach! /    The apple on the tree,"
349,I've got an arrow here;,"I've got an arrow here;
   Loving the hand that sent it,
I the dart revere.

Fell, they will say, in 'skirmish'!
   Vanquished, my soul will know,
By but a simple arrow
   Sped by an archer's bow.",0.9427074121826344,"I've got an arrow here; /    Loving the hand that sent it,"
25,"Belshazzar had a letter, â","Belshazzar had a letter, â
He never had but one;
Belshazzar's correspondent
Concluded and begun
In that immortal copy
The conscience of us all
Can read without its glasses
On revelation's wall.",0.9345226589811808,"Belshazzar had a letter, â / He never had but one;"
143,Experiment to me,"Experiment to me
Is every one I meet.
If it contain a kernel?
The figure of a nut

Presents upon a tree,
Equally plausibly;
But meat within is requisite,
To squirrels and to me.",0.9294853682500132,Experiment to me / Is every one I meet.
281,POEMS,"by EMILY DICKINSON
Third Series

Edited by

MABEL LOOMIS TODD

It's all I have to bring to-day,
   This, and my heart beside,
This, and my heart, and all the fields,
   And all the meadows wide.
Be sure you count, should I forget, â
   Some one the sum could tell, â
This, and my heart, and all the bees
   Which in the clover dwell.

PREFACE.

The intellectual activity of Emily Dickinson was so great that a large and characteristic choice is still possible among her literary material, and this third volume of her verses is put forth in response to the repeated wish of the admirers of her peculiar genius. Much of Emily Dickinson's prose was rhythmic, âeven rhymed, though frequently not set apart in lines.

Also many verses, written as such, were sent to friends in letters; these were published in 1894, in the volumes of her Letters. It has not been necessary, however, to include them in this Series, and all have been omitted, except three or four exceptionally strong ones, as ""A Book,"" and ""With Flowers.""

There is internal evidence that many of the poems were simply spontaneous flashes of insight, apparently unrelated to outward circumstance. Others, however, had an obvious personal origin; for example, the verses ""I had a Guinea golden,"" which seem to have been sent to some friend travelling in Europe, as a dainty reminder of letter-writing delinquencies. The surroundings in which any of Emily Dickinson's verses are known to have been written usually serve to explain them clearly; but in general the present volume is full of thoughts needing no interpretation to those who apprehend this scintillating spirit.

    M. L. T.

AMHERST, October, 1896.

I. LIFE.",0.5610633769611973,by EMILY DICKINSON / Third Series
